representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCA_efficiency,2,DC-A,efficiency,HE,6.602085304200007,436885.23391228425,1809.8219046977447,R245fa,gas,122692.60371460502,-1.0,4,311.3672371504361
S5_DCB_compromise,1,DC-B,compromise,HP,3.249583902618533,352987.4842056072,1163.6750796582933,R601a,gas,109775.5049643013,-1.0,1,306.8561598426824
S5_DCB_compromise,1,DC-B,compromise,HP,23.355385091004973,547325.7644057606,1475.8361666961932,R601a,gas,950139.4497722461,-1.0,2,416.6256665120703
S5_DCB_compromise,1,DC-B,compromise,HP,530.8044902354012,176917.70621997962,521.9563931574904,R601a,liquid,950139.4497722461,-1.0,3,371.7061578717891
S5_DCB_compromise,1,DC-B,compromise,HP,14.58438897334921,81064.54397449101,267.2856790038096,R601a,twophase,109775.5049643013,0.22166667635952075,4,303.3138272559653
S5_DCB_compromise,1,DC-B,compromise,HE,1336.2520002225958,242884.02891359897,1145.9201247576843,R227EA,liquid,698996.1948311124,-1.0,1,309.9705910120296
S5_DCB_compromise,1,DC-B,compromise,HE,1345.9511902620816,245717.54065733033,1150.010426988809,R227EA,liquid,2792156.6550568556,-1.0,2,312.3864223346237
S5_DCB_compromise,1,DC-B,compromise,HE,312.0923242670379,375615.63100776135,1517.8021415275023,R227EA,supercritical_gas,2792156.6550568556,-1.0,3,375.5926170438301
S5_DCB_compromise,1,DC-B,compromise,HE,52.04631136162229,361046.27702803595,1522.8000581398292,R227EA,gas,698996.1948311124,-1.0,4,325.36888917070087
S5_DCB_compromise,2,DC-B,compromise,HP,3.249583902618533,352987.4842056072,1163.6750796582933,R601a,gas,109775.5049643013,-1.0,1,306.8561598426824
S5_DCB_compromise,2,DC-B,compromise,HP,23.355385091004973,547325.7644057606,1475.8361666961932,R601a,gas,950139.4497722461,-1.0,2,416.6256665120703
S5_DCB_compromise,2,DC-B,compromise,HP,530.8044902354012,176917.70621997962,521.9563931574904,R601a,liquid,950139.4497722461,-1.0,3,371.7061578717891
S5_DCB_compromise,2,DC-B,compromise,HP,14.58438897334921,81064.54397449101,267.2856790038096,R601a,twophase,109775.5049643013,0.22166667635952075,4,303.3138272559653
S5_DCB_compromise,2,DC-B,compromise,HE,1336.2520002225958,242884.02891359897,1145.9201247576843,R227EA,liquid,698996.1948311124,-1.0,1,309.9705910120296
S5_DCB_compromise,2,DC-B,compromise,HE,1345.9511902620816,245717.54065733033,1150.010426988809,R227EA,liquid,2792156.6550568556,-1.0,2,312.3864223346237
S5_DCB_compromise,2,DC-B,compromise,HE,312.0923242670379,375615.63100776135,1517.8021415275023,R227EA,supercritical_gas,2792156.6550568556,-1.0,3,375.5926170438301
S5_DCB_compromise,2,DC-B,compromise,HE,52.04631136162229,361046.27702803595,1522.8000581398292,R227EA,gas,698996.1948311124,-1.0,4,325.36888917070087
S5_DCB_density,1,DC-B,density,HP,3.2792570976466546,355167.01435225044,1169.2925197204597,R601a,gas,111251.50669994472,-1.0,1,308.14999992149404
S5_DCB_density,1,DC-B,density,HP,20.494888442842253,527665.3327865787,1442.136643802231,R601a,gas,823356.5051769015,-1.0,2,406.5326532632273
S5_DCB_density,1,DC-B,density,HP,540.2587923856526,157348.03210408686,469.4339562189515,R601a,liquid,823356.5051769015,-1.0,3,364.47267218622983
S5_DCB_density,1,DC-B,density,HP,16.3284410417262,74480.6703617211,245.27773989927925,R601a,twophase,111251.50669994472,0.19990742126398275,4,303.7076116924268
S5_DCB_density,1,DC-B,density,HE,1335.432025130039,243102.9606059818,1146.6178779339227,R227EA,liquid,702450.9410538792,-1.0,1,310.1498373442286
S5_DCB_density,1,DC-B,density,HE,1338.0863059485914,243857.9356849421,1147.7205159519945,R227EA,liquid,1254043.837917435,-1.0,2,310.80142273030214
S5_DCB_density,1,DC-B,density,HE,103.74635997143524,364842.2872270993,1511.6046413941845,R227EA,gas,1254043.837917435,-1.0,3,338.80529915546066
S5_DCB_density,1,DC-B,density,HE,53.21937871622876,358303.18355966214,1514.1297405178875,R227EA,gas,702450.9410538792,-1.0,4,322.53546124383587
S5_DCB_density,2,DC-B,density,HP,3.2792570976466546,355167.01435225044,1169.2925197204597,R601a,gas,111251.50669994472,-1.0,1,308.14999992149404
S5_DCB_density,2,DC-B,density,HP,20.494888442842253,527665.3327865787,1442.136643802231,R601a,gas,823356.5051769015,-1.0,2,406.5326532632273
S5_DCB_density,2,DC-B,density,HP,540.2587923856526,157348.03210408686,469.4339562189515,R601a,liquid,823356.5051769015,-1.0,3,364.47267218622983
S5_DCB_density,2,DC-B,density,HP,16.3284410417262,74480.6703617211,245.27773989927925,R601a,twophase,111251.50669994472,0.19990742126398275,4,303.7076116924268
S5_DCB_density,2,DC-B,density,HE,1335.432025130039,243102.9606059818,1146.6178779339227,R227EA,liquid,702450.9410538792,-1.0,1,310.1498373442286
S5_DCB_density,2,DC-B,density,HE,1338.0863059485914,243857.9356849421,1147.7205159519945,R227EA,liquid,1254043.837917435,-1.0,2,310.80142273030214
S5_DCB_density,2,DC-B,density,HE,103.74635997143524,364842.2872270993,1511.6046413941845,R227EA,gas,1254043.837917435,-1.0,3,338.80529915546066
S5_DCB_density,2,DC-B,density,HE,53.21937871622876,358303.18355966214,1514.1297405178875,R227EA,gas,702450.9410538792,-1.0,4,322.53546124383587
S5_DCB_efficiency,1,DC-B,efficiency,HP,1.5496962896872088,372911.7879834151,1225.1451839003948,Cyclopentane,gas,55374.761930547225,-1.0,1,308.1500538021764
S5_DCB_efficiency,1,DC-B,efficiency,HP,13.309301215206625,579869.0335815796,1495.3498636879324,Cyclopentane,gas,646354.6476569417,-1.0,2,446.48680005264947
S5_DCB_efficiency,1,DC-B,efficiency,HP,650.0483632936011,123638.14770139681,349.22708996759957,Cyclopentane,liquid,646354.6476569417,-1.0,3,381.1879694670354
S5_DCB_efficiency,1,DC-B,efficiency,HP,8.350423150353938,42024.67851759071,140.85676985679046,Cyclopentane,twophase,55374.761930547225,0.18580681395445722,4,305.14826701349034
S5_DCB_efficiency,1,DC-B,efficiency,HE,1231.5034365712438,250225.58201877592,1172.1924928118908,R365MFC,liquid,99839.22448295055,-1.0,1,309.93278453808176
S5_DCB_efficiency,1,DC-B,efficiency,HE,1232.148638296356,251098.23070847534,1173.4612189288152,R365MFC,liquid,690044.7206609452,-1.0,2,310.4032884207921
S5_DCB_efficiency,1,DC-B,efficiency,HE,38.58066514021299,507627.5338571997,1876.3215434423194,R365MFC,gas,690044.7206609452,-1.0,3,382.9181540207428
S5_DCB_efficiency,1,DC-B,efficiency,HE,5.343412911922833,475338.7305864558,1886.8273752685748,R365MFC,gas,99839.22448295055,-1.0,4,343.472128425106
S5_DCB_efficiency,2,DC-B,efficiency,HP,1.5496962896872088,372911.7879834151,1225.1451839003948,Cyclopentane,gas,55374.761930547225,-1.0,1,308.1500538021764
S5_DCB_efficiency,2,DC-B,efficiency,HP,13.309301215206625,579869.0335815796,1495.3498636879324,Cyclopentane,gas,646354.6476569417,-1.0,2,446.48680005264947
S5_DCB_efficiency,2,DC-B,efficiency,HP,650.0483632936011,123638.14770139681,349.22708996759957,Cyclopentane,liquid,646354.6476569417,-1.0,3,381.1879694670354
S5_DCB_efficiency,2,DC-B,efficiency,HP,8.350423150353938,42024.67851759071,140.85676985679046,Cyclopentane,twophase,55374.761930547225,0.18580681395445722,4,305.14826701349034
S5_DCB_efficiency,2,DC-B,efficiency,HE,1231.5034365712438,250225.58201877592,1172.1924928118908,R365MFC,liquid,99839.22448295055,-1.0,1,309.93278453808176
S5_DCB_efficiency,2,DC-B,efficiency,HE,1232.148638296356,251098.23070847534,1173.4612189288152,R365MFC,liquid,690044.7206609452,-1.0,2,310.4032884207921
S5_DCB_efficiency,2,DC-B,efficiency,HE,38.58066514021299,507627.5338571997,1876.3215434423194,R365MFC,gas,690044.7206609452,-1.0,3,382.9181540207428
S5_DCB_efficiency,2,DC-B,efficiency,HE,5.343412911922833,475338.7305864558,1886.8273752685748,R365MFC,gas,99839.22448295055,-1.0,4,343.472128425106
S5_DCC_compromise,1,DC-C,compromise,HP,1.5814805710995428,380031.45030789205,1243.5140872582144,Cyclopentane,gas,57577.58566531326,-1.0,1,313.83059255155166
S5_DCC_compromise,1,DC-C,compromise,HP,13.119108503999309,571722.8954575668,1479.7064191619372,Cyclopentane,gas,630560.9357601292,-1.0,2,442.18074424869945
