T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,eta_p2p,energy_density_thermal,exergy_efficiency,wp,cb_config,fluid_hp,fluid_he,label,orc_type,hp_type
88.927522,59.999834,18.697710,6.583268,2.848378,14.661513,0.898957,0.899211,0.541674,0.185710,34.219371,0.146750,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
91.959110,59.999828,2.992975,3.381425,0.966650,13.983766,0.898461,0.899073,0.541089,0.289693,34.177605,0.093420,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
112.504533,59.981459,18.743587,4.768850,2.945429,14.932595,0.898148,0.896749,0.544909,0.373557,33.865844,0.313417,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
83.028573,59.999824,6.468904,6.115163,2.873482,14.856654,0.898561,0.899219,0.544892,0.071555,34.298387,0.034536,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
82.916046,59.999915,4.368959,4.880733,2.486457,14.656891,0.898971,0.899946,0.541845,0.069204,34.299918,0.026186,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
87.551577,59.999827,5.438767,3.170968,2.843212,14.696173,0.898027,0.899947,0.543060,0.196658,34.238063,0.089506,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
91.989961,59.999834,3.852063,4.924818,2.827123,14.409578,0.899119,0.899940,0.547008,0.282600,34.177180,0.109200,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
88.405485,59.999924,3.987723,3.949651,2.662808,14.716160,0.898079,0.897738,0.544522,0.220029,34.226535,0.082757,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
82.220267,59.999834,18.859590,4.907417,2.947466,14.939179,0.898974,0.899786,0.541894,0.036051,34.308993,0.027934,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
99.463254,59.999972,8.116476,3.308473,1.188689,14.696540,0.898445,0.899206,0.541889,0.355622,34.071064,0.218152,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
85.222654,59.999825,7.893556,3.313184,2.470247,13.950225,0.898512,0.899955,0.540978,0.133172,34.269340,0.073326,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
99.271232,59.995549,6.450469,3.103271,2.883970,14.712967,0.898047,0.899217,0.541245,0.359883,34.071316,0.197847,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
83.964321,59.999972,5.489152,3.387468,2.992299,14.914594,0.898429,0.899090,0.547333,0.102619,34.286132,0.045329,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
96.853845,59.999915,7.758990,4.847324,2.919203,14.965459,0.898262,0.899972,0.547743,0.331843,34.108613,0.196162,DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SRVCHP
119.932753,57.844692,10.041783,3.034803,2.993334,14.562008,0.899594,0.899355,0.548865,0.425798,32.537300,0.311762,DC-A,SRVCHP_SBORC,R245fa,R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
119.038684,58.884809,9.575175,3.200809,2.842233,14.540917,0.899594,0.899634,0.549387,0.424340,33.141783,0.304754,DC-A,SRVCHP_SBORC,R245fa,R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
107.802333,59.986742,6.704743,3.195330,2.987635,14.745474,0.898197,0.899191,0.535305,0.384830,33.940200,0.228174,DC-A,SRVCHP_SBORC,R245fa,R134a,Air-cooled (Winter),SBORC,SRVCHP
81.347600,59.999977,8.993143,6.495394,2.948067,13.696569,0.899094,0.899717,0.549380,0.011147,34.320461,0.006374,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
81.347600,60.000000,6.439120,6.508078,2.948632,13.692550,0.899094,0.899723,0.549282,0.011642,34.320474,0.005536,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
82.675873,59.999070,0.199386,3.379436,2.944634,14.639552,0.898558,0.899689,0.547217,0.062831,34.302585,0.001650,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
88.157611,59.999589,6.265680,4.355142,2.454076,14.653290,0.899924,0.899622,0.548841,0.206883,34.229712,0.102991,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
91.230564,59.999957,4.853113,5.659780,2.297282,14.803519,0.899111,0.899719,0.546976,0.266775,34.187787,0.118410,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
83.490227,60.000000,2.789148,6.064755,2.994170,14.645072,0.899225,0.899603,0.549823,0.086901,34.292409,0.025007,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
92.461379,60.000000,6.595190,6.054889,2.780129,14.950010,0.894003,0.899694,0.546722,0.280627,34.170710,0.148975,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
87.206033,59.999722,1.808887,3.939211,2.958119,14.677808,0.898599,0.899826,0.548744,0.193064,34.242673,0.040905,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
