wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.3760352719813597,34.074862293203516,0.13853121925892045,99.17217026003674,59.999238220287694,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.37962771941123447,33.989919026514585,0.2364482813049314,104.96890581032834,59.99955377115402,,,,,
DC-A,SRVCHP_SBORC,R600,R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R600_R1234ze(E).csv,0.38053966684122614,33.883578612654986,0.29497289568555884,112.03035085805644,59.999863446861205,,,,,
DC-A,SRVCHP_SRORC,R600,R1234ze(E),pareto_DC-A_SRVCHP_SRORC_R600_R1234ze(E).csv,0.38082489425629107,33.92867755038252,0.2522513717657992,108.85782828273867,59.99443765319124,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.38460136056829675,33.87948118013583,0.3094972956837149,112.1199972870741,59.99507665597593,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.3870979842718237,33.98813606307003,0.21395084413452317,105.00736769149968,59.997435211171364,,,,,
DC-A,SRVCHP_SRORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SRORC_R245fa_R227ea.csv,0.39474461583886766,33.855467558172116,0.31995667540093287,113.2135850903718,59.982292886433406,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.39709320899063116,33.83212807020439,0.33425397097298654,115.37315931039264,59.99958790605145,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.4039779395889587,33.989919026514585,0.0549826513508505,104.96890581032834,59.99955377115402,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.40713286421384964,33.79836979379245,0.3112115644492698,117.49415227483719,59.99786395558155,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.41090341362059274,33.73057197778596,0.34031926843180044,116.79127402316432,59.85957447398441,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.41550637590289946,33.92630852880029,0.156886907514655,106.69613476732101,59.93333424379486,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R1234ze(E).csv,0.4174074856675332,33.91342004253107,0.16423203937850867,109.53521847886415,59.985653810295865,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.4188075741510251,33.96149973549155,0.14911392506374632,106.75210342449112,59.9964234413005,,,,,
DC-A,SRVCHP_SBORC,R245fa,R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R245fa_R1234ze(E).csv,0.4243396057338126,33.141782851370785,0.30475425040957094,119.03868447103436,58.88480924995213,,,,,
DC-A,SRVCHP_SBORC,R245fa,R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R245fa_R1234ze(E).csv,0.42579766338351105,32.53730044852227,0.31176185978239856,119.93275321795697,57.844692193788454,,,,,
DC-A,SRVCHP_SRORC,R600,R1234ze(E),pareto_DC-A_SRVCHP_SRORC_R600_R1234ze(E).csv,0.4274928249811377,25.259875376775305,0.346042813242809,119.3028614536536,44.99649186686095,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.42797317620410935,33.8659326629632,0.2550376406106751,111.68987000183658,59.959793294410694,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.4341648419968777,25.24202726141792,0.3571458757270548,115.18125010694456,44.87872600260765,,,,,
DC-A,SRVCHP_SRORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SRORC_R245fa_R227ea.csv,0.4350210169003775,12.115329533025994,0.3615226687348967,101.19849930742029,21.499007698834937,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.43632948105985636,12.673300169336914,0.359148436757005,104.57152506111458,22.52011946101566,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.4372686259574186,13.661910493362825,0.35602603209250355,97.8220401509091,24.191421839215923,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.4388623620918976,33.10256938554234,0.29193866495619625,119.7298226556386,58.83439227739111,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.43921763145903153,33.7957411787531,0.22472236527315798,111.26076979733422,59.825214908286654,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.4406097384512497,10.298856496045683,0.36077360000633757,97.8743803518795,18.25967304462069,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.44505825331190535,32.36230333510177,0.34545037875726786,119.24037155222628,57.51829914391039,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.44526981630820417,9.77014741816041,0.36284985771473277,97.95754611432461,17.326452806279928,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.45276239493247955,18.95855083053635,0.3479719255270455,105.19270780162577,33.62214274090574,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.456988853443607,12.016095128105446,0.3557795107233291,104.46321980237451,21.356488879132666,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.45828886045561196,11.566674217042006,0.356790298719318,104.46667613719899,20.561264298090894,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.4620169193052681,33.82273216314316,0.16464233621083615,113.28095492255349,59.926645482330926,,,,,
