wp,cfg,fluid_hp,fluid_he,seed,source_s2_run_id,s3_selection_rank,s3_selected_reason,requires_s5_review
DC-C,SBVCHP_SBORC,Acetone,R600a,17,S2_DCC_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600a,42,S2_DCC_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600a,73,S2_DCC_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600a,101,S2_DCC_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SBVCHP_SBORC,Acetone,R600a,202,S2_DCC_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,Acetone,R236ea,17,S2_DCC_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,1,extreme_eta_p2p,True
DC-C,SRVCHP_SRORC,Acetone,R236ea,42,S2_DCC_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,1,extreme_eta_p2p,True
DC-C,SRVCHP_SRORC,Acetone,R236ea,73,S2_DCC_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,1,extreme_eta_p2p,True
DC-C,SRVCHP_SRORC,Acetone,R236ea,101,S2_DCC_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,1,extreme_eta_p2p,True
DC-C,SRVCHP_SRORC,Acetone,R236ea,202,S2_DCC_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,1,extreme_eta_p2p,True
DC-C,SRVCHP_SRORC,Cyclopentane,R600,17,S2_DCC_SRVCHP-SRORC_Cyclopentane_R600_seed042_20260717T060425Z,2,extreme_exergy_efficiency,True
DC-C,SRVCHP_SRORC,Cyclopentane,R600,42,S2_DCC_SRVCHP-SRORC_Cyclopentane_R600_seed042_20260717T060425Z,2,extreme_exergy_efficiency,True
DC-C,SRVCHP_SRORC,Cyclopentane,R600,73,S2_DCC_SRVCHP-SRORC_Cyclopentane_R600_seed042_20260717T060425Z,2,extreme_exergy_efficiency,True
DC-C,SRVCHP_SRORC,Cyclopentane,R600,101,S2_DCC_SRVCHP-SRORC_Cyclopentane_R600_seed042_20260717T060425Z,2,extreme_exergy_efficiency,True
DC-C,SRVCHP_SRORC,Cyclopentane,R600,202,S2_DCC_SRVCHP-SRORC_Cyclopentane_R600_seed042_20260717T060425Z,2,extreme_exergy_efficiency,True
DC-C,SRVCHP_SRORC,R600,R236ea,17,S2_DCC_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,3,extreme_energy_density_thermal,True
DC-C,SRVCHP_SRORC,R600,R236ea,42,S2_DCC_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,3,extreme_energy_density_thermal,True
DC-C,SRVCHP_SRORC,R600,R236ea,73,S2_DCC_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,3,extreme_energy_density_thermal,True
DC-C,SRVCHP_SRORC,R600,R236ea,101,S2_DCC_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,3,extreme_energy_density_thermal,True
DC-C,SRVCHP_SRORC,R600,R236ea,202,S2_DCC_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,3,extreme_energy_density_thermal,True
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,17,S2_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,42,S2_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,73,S2_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,101,S2_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,202,S2_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,17,S2_DCC_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,42,S2_DCC_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,73,S2_DCC_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False
