run_id,wp,cfg,fluid_hp,fluid_he,seed,sample_count,feasible_count,failure_count,feasible_rate
S1_DCB_SRVCHP-SRORC_R1234zeZ_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R236ea,42,256,75,181,0.29296875
S1_DCB_SBVCHP-SBORC_R365MFC_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R134a,42,256,10,246,0.0390625
S1_DCB_SRVCHP-SRORC_R1234zeZ_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R236fa,42,256,64,192,0.25
S1_DCB_SRVCHP-SRORC_R365MFC_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R1234ze(E),42,256,32,224,0.125
S1_DCB_SRVCHP-SRORC_R1234zeZ_R365MFC_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1234ze(Z),R365MFC,42,256,78,178,0.3046875
S1_DCB_SBVCHP-SBORC_R365MFC_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R152A,42,256,7,249,0.02734375
S1_DCB_SBVCHP-SBORC_R365MFC_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R1234yf,42,256,10,246,0.0390625
S1_DCB_SRVCHP-SRORC_R365MFC_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R152A,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R365MFC_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R290,42,256,8,248,0.03125
S1_DCB_SBVCHP-SBORC_R365MFC_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R600a,42,256,10,246,0.0390625
S1_DCB_SRVCHP-SRORC_R365MFC_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R134a,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R365MFC_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R227EA,42,256,66,190,0.2578125
S1_DCB_SRVCHP-SRORC_R365MFC_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R290,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R365MFC_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R1234yf,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R365MFC_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R600,42,256,10,246,0.0390625
S1_DCB_SBVCHP-SBORC_R365MFC_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R245fa,42,256,10,246,0.0390625
S1_DCB_SBVCHP-SBORC_R365MFC_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R236ea,42,256,10,246,0.0390625
S1_DCB_SRVCHP-SRORC_R365MFC_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R600a,42,256,51,205,0.19921875
S1_DCB_SBVCHP-SBORC_R365MFC_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R236fa,42,256,10,246,0.0390625
S1_DCB_SRVCHP-SRORC_R365MFC_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R600,42,256,67,189,0.26171875
S1_DCB_SRVCHP-SRORC_R365MFC_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R245fa,42,256,64,192,0.25
S1_DCB_SBVCHP-SBORC_R365MFC_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R365MFC,R365MFC,42,256,10,246,0.0390625
S1_DCB_SBVCHP-SBORC_Cyclopentane_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,Cyclopentane,R1234ze(E),42,256,138,118,0.5390625
S1_DCB_SRVCHP-SRORC_R365MFC_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R365MFC,R236ea,42,256,78,178,0.3046875
