run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,exit_code,elapsed_s,run_dir,detail
S1_DCB_SBVCHP-SBORC_R245fa_R236fa_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R236fa,42,FINISHED,0,13.6603262424469,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R236fa_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R600a_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R600a,42,FINISHED,0,20.791487455368042,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R600a_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R245fa_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R245fa,42,FINISHED,0,18.943615436553955,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R245fa_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R600_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R600,42,FINISHED,0,19.779683351516724,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R600_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R365MFC_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R365MFC,42,FINISHED,0,14.490641832351685,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R365MFC_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R600_R1234zeE_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R600,R1234ze(E),42,FINISHED,0,13.694468021392822,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R600_R1234zeE_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R245fa_R236ea_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R245fa,R236ea,42,FINISHED,0,31.80260419845581,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R245fa_R236ea_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R600_R227EA_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R600,R227EA,42,FINISHED,0,17.69727349281311,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R600_R227EA_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R600_R134a_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R600,R134a,42,FINISHED,0,13.654508829116821,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R600_R134a_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R600_R1234zeE_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R600,R1234ze(E),42,FINISHED,0,21.532716512680054,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R600_R1234zeE_seed042_20260716T121618Z,
