wp,cfg,fluid_hp,fluid_he,seed,run_id,certified_normalized_hypervolume,eta_p2p_maximum,energy_density_thermal_maximum,exergy_efficiency_maximum,igd_plus_to_union
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,101,S4_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed101_20260720T095135Z,0.07679222031870726,0.423574025263536,34.030167954829984,0.3578565875841549,0.001369117988809358
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,202,S4_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed202_20260720T095135Z,0.0765697483431858,0.4249237575947172,34.03372164534736,0.3576385275865759,0.0008433445538580225
DC-B,SBVCHP_SBORC,Cyclopentane,R600,17,S4_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed017_20260720T095135Z,0.07433010742994026,0.4169825882011881,34.032861324359665,0.3511362186677737,0.0011515089846021466
DC-B,SBVCHP_SBORC,Cyclopentane,R600,42,S4_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260720T095135Z,0.07395179292085234,0.4130871988736925,34.03271162411379,0.351366813692163,0.0012065066357729514
DC-B,SBVCHP_SBORC,Cyclopentane,R600,73,S4_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed073_20260720T095135Z,0.07379297091135353,0.4096347200753782,34.03277896929496,0.3514839942199511,0.0008412074720565773
DC-B,SBVCHP_SBORC,Cyclopentane,R600,101,S4_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed101_20260720T095135Z,0.07482270328789536,0.4185873196729556,34.03264806197291,0.3521244935494669,0.001845428593569071
DC-B,SBVCHP_SBORC,Cyclopentane,R600,202,S4_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed202_20260720T095135Z,0.07472461646402448,0.4186110488745794,34.03241343466323,0.3517435129981316,0.0006806166712032583
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,17,S4_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed017_20260720T095135Z,0.1004384537555338,0.4690333301482585,33.785451522483,0.3958439353591435,0.0017226822694172705
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,42,S4_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260720T095135Z,0.10051725966775853,0.4700196843667846,33.78224703404522,0.3963607892014416,0.0022535146788244
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,73,S4_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed073_20260720T095135Z,0.1004332311257461,0.4692002014421552,33.766453425146125,0.395650987426688,0.0022001877796956433
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,101,S4_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed101_20260720T095135Z,0.1003029306097711,0.4700293024748866,33.82675522286526,0.3962524520565637,0.004320898868047176
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,202,S4_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed202_20260721T031641Z,0.09908237716409868,0.4613824136400362,33.77985527751378,0.3973123688922743,0.0024472790956955232
